word,gender_score
crime,0.929521
criminal,0.648968
cripple,0.799897
crisis,-0.695032
cross,0.796471
crossdress,0.001507
crossdresser,0.770992
crowd,-0.043785
crown,0.735317
crowns,-0.145817
cruiser,-0.999026
crusade,0.96698
crush,-0.350977
cry,-0.438344
crypto,0.223214
crystal,-0.74341
cub,0.631659
cuckold,0.227578
cuckolds,-0.897773
culprit,0.706558
culture,0.804548
cum,-0.49664
cums,-0.556164
cumshot,-0.977151
cumshots,-0.952927
cunt,-0.784029
cunts,-0.908964
cup,-0.310533
curator,0.428085
cure,0.675015
curtains,-0.725275
custodian,0.411982
custody,0.246093
customer,0.047744
customers,-0.302279
cut,-0.900348
cutie,-0.544517
cyber,-0.526701
cyclist,-0.635097
cynosure,0.148148
da,0.634003
dad,0.52086
daddies,0.697852
daddy,0.80698
dads,0.01684
dallas,-0.501272
dance,0.3448
dancer,-0.586026
dances,0.19538
dancing,-0.871537
danger,0.152484
darkness,0.80369
darling,0.31278
data,0.718787
database,0.006278
date,-0.161552
dates,-0.700688
dating,-0.17794
daughter,-0.720537
daughters,-0.987363
day,-0.526367
days,0.509705
deacons,-0.514099
deadbeat,0.705573
deal,0.328843
dealer,0.600891
deals,-0.41309
dean,0.632149
dear,0.66898
death,0.062564
deceiver,0.673729
decendant,0.469613
decision,0.738947
deck,0.440789
decks,-0.096726
decoy,-0.529032
deepthroats,-0.812183
deer,-0.539011
defence,0.981584
defendant,0.756603
defense,0.991062
definition,-0.145612
delay,-0.898004
delegate,0.38545
delegation,0.889714
delight,0.323998
delights,0.85525
delivery,0.808184
delta,0.148805
demo,-0.089372
democracy,0.030612
demolition,0.900509
demon,0.49023
demons,0.482201
den,-0.308311
dentist,0.919164
denver,0.792835
department,0.73749
depot,-0.155
depression,-0.171857
deputy,0.954399
derision,0.176471
descendant,0.656009
descendants,0.296912
descendent,0.502329
description,0.139547
desert,0.934286
desi,-0.989583
design,0.091498
designer,-0.490275
designers,0.46988
designing,-0.88218
designs,0.191539
desire,0.890791
desk,-0.354067
desktop,-0.345656
destination,0.818998
destiny,-0.106095
destruction,-0.757666
details,-0.180148
detainees,-0.990765
detection,0.946903
detective,-0.031163
detroit,0.708017
dev,-0.741176
developer,-0.379994
development,-0.271342
devil,0.275178
devotee,0.289127
devout,-0.609391
diabetic,0.353012
diamond,-0.298719
diamonds,-0.932075
diaper,-0.970435
diary,-0.459926
dick,0.607578
dicks,-0.072189
dictionary,-0.971674
die,-0.439934
diego,0.772663
diet,-0.624975
difference,0.931298
differences,0.164021
dildo,-0.917184
dildos,-0.593803
dime,-0.540044
dimensions,0.699115
dinner,0.50601
dinosaur,0.774892
diplomat,0.976722
director,0.628775
directory,0.115504
disappointment,0.603936
disaster,0.846977
disciple,0.872962
disco,-0.103858
discography,0.533512
discount,-0.582738
discounts,0.656898
discoverer,-0.256979
discovery,0.672378
disease,0.961121
disgrace,0.608242
disney,-0.748197
dispatch,0.142857
display,0.880309
distance,0.502064
district,-0.256705
diversity,0.818372
diving,-0.026801
division,-0.492546
doc,-0.4496
doctor,-0.249282
doctors,0.9821
document,0.569475
dodge,0.60803
dog,-0.624997
dogs,-0.621682
dogsex,-0.969383
doll,-0.92475
dollar,0.297813
dolls,-0.659586
dolphin,-0.766823
dom,0.009333
domain,0.841197
domination,-0.835758
donkey,0.22314
donor,0.620253
door,-0.119713
dope,0.73862
dork,0.706037
dorks,-0.543103
dorm,-0.790121
dot,0.023256
double,0.616602
doubles,-0.395193
down,0.380492
download,0.452302
downloads,-0.609892
downtown,-0.416342
dozen,0.573996
draft,-0.298635
drag,-0.958944
dragon,0.05359
drama,-0.671208
drawings,-0.612903
dream,-0.124877
dreamboat,-0.521739
dreamer,0.691814
dreams,-0.225168
dress,-0.653111
dresses,-0.966943
drinking,-0.674556
drinks,-0.520623
drive,-0.36
driver,-0.39012
drivers,0.98004
drug,0.64719
drugs,0.022514
drummer,0.955231
drunk,-0.769452
drunks,-0.876273
dublin,0.925077
duck,-0.784295
dude,0.403202
dumbass,0.682525
dummy,0.70463
dump,0.330973
duo,-0.438117
duos,-0.047923
dust,0.204482
dutch,-0.353624
duties,0.89546
duty,0.645779
duvet,0.25754
dvd,-0.051777
dvds,0.153046
dwarf,0.578275
dynamite,0.277955
eagle,0.337748
earrings,0.946811
ears,0.07604
earth,-0.874734
east,-0.9603
eater,0.194832
ebody,-0.122449
ebony,-0.907265
edge,0.026667
edinburgh,0.457399
edition,-0.686957
editor,0.646615
edmonton,0.750968
education,0.037814
educator,0.27893
effect,-0.964647
effects,-0.688201
effort,0.544681
efforts,0.665455
ejaculating,-0.24393
ejaculation,-0.789405
elder,0.222742
elders,-0.271429
election,0.253833
elector,0.218045
electronics,0.817693
element,0.157428
elements,0.61529
elephant,0.458091
elevator,0.715888
elf,0.252174
elfin,0.699482
elle,-0.270217
email,0.708218
embarrassment,0.668566
embassy,0.640831
embodiment,0.467476
embroidery,0.953414
embryo,-0.998152
emo,0.743412
employee,0.144939
employees,-0.991983
employers,0.976934
employment,-0.752031
enables,0.030303
end,0.657879
enemies,0.341278
enemy,0.854045
energy,0.355347
engagement,-0.15975
engine,0.111944
engineer,0.683856
england,-0.002118
english,0.039317
enigma,0.694048
ensemble,-0.880724
ensembles,-0.254321
entertainer,0.705854
entertainment,-0.34458
enthusiasm,-0.541053
entrepreneur,-0.628757
entrepreneurs,-0.979813
entry,0.407945
environment,0.940721
environmentalist,0.787115
envy,0.352518
episodes,0.817893
epitome,0.306234
epitomy,0.379953
equal,0.429749
equals,0.317739
equipment,0.568602
equity,0.81724
equivalent,0.411765
era,-0.264192
erotica,0.08098
erotikbondage,-0.350365
errand,0.912014
error,0.444712
errors,0.390535
escape,0.057339
escort,-0.653811
escorte,-0.913316
escorts,-0.584947
eskimo,-0.804554
essays,-0.482759
essence,0.342523
essex,0.457643
estate,0.541522
estrogen,0.529412
euro,-0.678057
europe,-0.813844
evangelical,-0.198185
eve,-0.977566
event,0.411296
events,0.79575
everyone,0.672544
everything,-0.18797
evidence,0.836735
evidences,0.315341
evil,0.826519
ex,0.468822
exam,-0.308192
example,0.377029
examples,-0.628458
exams,-0.892321
excel,-0.948923
exception,0.317379
excerpt,-0.091302
excess,-0.362416
exchange,-0.671976
exec,0.910011
executive,0.716591
executor,0.20944
exemplar,0.62807
exercise,-0.096977
exhibit,-0.164581
exhibitionist,-0.983407
existence,-0.148148
expeditions,0.377778
experience,-0.606404
experiences,-0.958269
expert,0.486239
exploit,0.758213
explorer,-0.978967
explorers,-0.899658
export,0.913935
expression,0.836576
expressions,0.431818
extension,0.426866
exterior,0.341837
extra,0.592076
extremist,0.862291
exudes,-0.687898
eye,0.37542
eyes,-0.952143
eyewitness,0.664507
face,-0.463318
faces,-0.320317
facet,0.063918
facials,-0.989308
facilities,0.892881
facility,0.495964
fact,0.538903
factor,0.826291
facts,0.107914
faculty,-0.834639
fag,0.356164
fail,0.799713
failure,0.734321
fairy,-0.710951
faith,-0.426068
fake,0.439775
falcon,0.53913
fall,0.111751
falls,0.418713
fame,0.887616
familienbondage,0.011364
families,0.735073
family,0.243706
familys,0.24359
fan,0.490815
fanatic,0.722841
fans,0.152805
fantasies,-0.665989
fantasy,-0.924726
farm,-0.585253
farmer,0.786829
farmers,-0.7796
fashion,-0.543702
fat,-0.946104
fate,-0.659306
father,0.214662
fathers,-0.167606
fats,0.312687
fav,0.440261
fave,0.206061
favorite,0.710959
favorites,0.700375
favourite,0.82554
fb,-0.848175
fbi,0.19685
fear,0.098567
feature,0.705085
features,0.108666
feeder,-0.834751
feel,-0.163891
feelings,0.678208
feet,-0.795604
fellow,0.616896
fellows,0.421203
felon,0.80458
female,-0.948673
females,-0.900523
femdom,-0.803261
feminist,-0.922318
fertility,-0.628223
fest,-0.739943
festival,0.365525
fetish,-0.319389
fi,0.975241
fiction,-0.861111
fide,0.857868
fiend,0.019943
fife,-0.388286
fight,-0.463873
fighter,0.044137
fighters,-0.900823
fighting,0.918282
figment,0.488095
figure,0.576996
figures,0.724304
figurine,-0.319423
figurines,-0.045007
files,0.461904
film,0.121663
films,0.28069
filter,0.411306
finalist,0.110537
find,0.860443
finder,0.869325
finger,-0.674899
fingers,-0.920572
fire,0.731168
firefighter,0.54375
fireman,0.157183
firm,0.871065
firms,0.465224
fish,0.487657
fisher,0.524051
fisherman,0.955095
fishhooks,0.259563
fishing,-0.871034
fishnet,-0.904899
fist,-0.021185
fisting,-0.599075
fit,-0.176367
fitness,-0.954118
fits,-0.444358
fixes,0.632959
fixture,0.630108
fl,0.009524
flag,0.788976
flake,0.196891
flash,-0.768187
flashers,-0.519716
flavor,0.109489
flavour,0
flesh,0.150586
flick,-0.966162
flicks,-0.962483
flighty,0.351351
floor,0.772071
florida,0.318532
flower,-0.938179
flowers,0.113031
flu,0.208462
fly,-0.368131
foal,0.209459
focus,0.122888
folk,-0.201835
follower,0.765792
font,0.161677
foo,0.119302
food,0.815834
foods,-0.210526
fool,0.789073
foot,-0.848061
football,-0.013204
footjob,-0.669675
footjobs,-0.480643
footsteps,0.603541
footwear,-0.217732
force,0.254987
ford,-0.517202
foreigner,0.557916
foreplaying,0.101276
forerunner,0.891892
forest,0.925359
fork,-0.905091
form,0.1908
formals,-0.153846
format,0.402174
forms,-0.356025
fortress,0.778426
fortune,0.255814
forum,0.207695
forums,0.72988
